Ouascicheghesemmu,,,
Dd;Ds;Dc,PIRIS,UDI,7
Dc,BARBA,EMP,3
Dd;Cd,GILBERTO,FIO,4
Dd;Dc,VITIELLO,PAL,2
M;Cc,BIGLIA,LAZ,16
M;Cc,CIGARINI,ATA,2
Cc;T,HAMSIK,NAP,27
Cc;T,SORIANO,SAM,20
Cs;Cc;W,LULIC,LAZ,10
Cc;T,BERTOLACCI,MIL,20
W;A,JUANITO GOMEZ,VER,7
T,HERNANES,JUV,17
T;A,MORALEZ,ATA,18
A,SALAH,ROM,31
Pc,DZEKO,ROM,60
Pc,KLOSE,LAZ,10
Pc,MBAKOGU,CAR,6
Crediti Residui: 58,,,
Massi,,,
Por,BUFFON,JUV,1
Por,HANDANOVIC,INT,26
Por,BIZZARRI,CHI,1
Por,NETO,JUV,1
Dd;Cd,LICHTSTEINER,JUV,15
Dd;Cd,BRUNO PERES,TOR,16
Ds;Cs,AVELAR,TOR,1
Dc,MIRANDA,INT,17
Dd;Cd,BASTA,LAZ,1
Ds;Cs,LAZAAR,PAL,1
Dd;Ds;Dc,MAKSIMOVIC,TOR,13
Dc,CASTAN,ROM,1
Ds;Dc,ZUKANOVIC,SAM,6
Ds;Dc,SOUPRAYEN,VER,1
Dd;Dc;Cd,STRUNA,PAL,1
Dc,FERRARI,BOL,1
Dd;Ds;Cd;Cs,MATTIELLO,CHI,4
M;Cc,KONDOGBIA,INT,11
M;Cc,SUAREZ,FIO,1
M;Cc,MILINKOVIC-SAVIC,LAZ,1
M;Cc,ITURRA,UDI,1
M;Cc,RONALDO P,EMP,2
M;Cc,DIAWARA,BOL,1
Cc;T,PJANIC,ROM,26
Cc;T,BORJA VALERO,FIO,16
Cc;T,TINO COSTA,GEN,1
Cc;T,PAREDES,EMP,1
W;T,FELIPE ANDERSON,LAZ,1
W;T;A,MERTENS,NAP,32
W,CAPEL,GEN,1
T;A,INSIGNE,NAP,26
T;A,VAZQUEZ,PAL,37
T;A,PUCCIARELLI,EMP,1
A,DYBALA,JUV,1
A,GABBIADINI,NAP,1
A,CASSANO,SAM,3
Pc,QUAGLIARELLA,TOR,36
Pc,MORATA,JUV,38
Pc,MURIEL,SAM,1
Pc,KALINIC,FIO,1
Pc,BABACAR,FIO,1
Pc,ROSSI,FIO,2
Crediti Residui: 0,,,
Support Team,,,
Por,SORRENTINO,PAL,1
Por,PERIN,GEN,12
Por,BRKIC,CAR,1
Por,LAMANNA,GEN,2
Dc,GLIK,TOR,21
Dc,MURILLO,INT,1
Ds;Cs,MARCOS ALONSO,FIO,12
Dc,ROMAGNOLI A,MIL,7
Dd;Cd,DE SILVESTRI,SAM,5
Dd;Cd,MONTOYA,INT,1
Ds;Dc;Cs,PELUSO,SAS,7
Dc,SILVESTRE,SAM,10
Dd;Cd,MAGGIO,NAP,6
Ds;Dc;Cs,MARCHESE,GEN,1
Ds;Cs,EVRA,JUV,6
Dd;Ds;Dc,FREY,CHI,7
Dd;Cd,MORGANELLA,PAL,1
Dd;Ds;Cd;Cs,CACCIATORE,CHI,4
Dd;Ds;Cd;Cs,D'AMBROSIO,INT,4
Dd;Cd,WALLACE,CAR,4
Dc,GASTALDELLO,BOL,1
Ds;Cs,DODO',INT,1
M;Cc,FERNANDO,SAM,9
M;Cc,JORGINHO,NAP,8
M;Cc,DUNCAN,SAS,7
M;Cc,ACQUAH,TOR,7
Cc;T,GUARIN,INT,17
Cc;T,MISSIROLI,SAS,10
Cd;M;Cc,RINCON,GEN,15
Cs;M;Cc,OBI,TOR,2
Cs;Cc;W,MARQUINHO,UDI,1
Cd;M;Cc,IZCO,CHI,1
Cc;T,LAZZARI,CAR,8
Cs;Cc;W,LAXALT,GEN,6
Cc;T,IVAN,SAM,4
W,BLASZCZYKOWSKY,FIO,5
W;T,GIACCHERINI,BOL,15
W;T,CORREA,SAM,5
W;A,DI GAUDIO,CAR,12
T;A,MENEZ,MIL,2
T;A,ILICIC,FIO,3
A,LJAJIC,INT,1
A,PALACIO,INT,6
A,LIVAJA,EMP,3
A,TRAJKOVSKI,PAL,1
Pc,DI NATALE,UDI,9
Pc,PINILLA,ATA,18
Pc,BELOTTI,TOR,3
Pc,BORRIELLO,CAR,16
Pc,DESTRO,BOL,12
Pc,MATRI,LAZ,18
Crediti Residui: 11,,,
